"dateAndTime","lat","lon","refGridStatus","wsp","wdir","hsig","tsig","dmean","seaHsig","seaTsig","seaDmean","swellHsig","swellTsig","swellDmean"
"2021-10-01 00:00:00","30.0","135.0","0","11.1","325.1","6.31","10.5","35.6","2.64","6.2","326.0","5.72","11.4","49.2"
"2021-10-01 01:00:00","30.0","136.0","0","13.4","310.5","6.69","10.3","17.6","3.59","7.1","315.5","5.65","11.5","41.1"
